,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
11706,Larry Nance,nancela01,1986,5486,2484,1.846817971,0.730672312,2.577490283,6.739094965,6.739094965,0.0,1.7400840640000002,0.7214240120000001,2.461508076,-0.19331856
11707,Larry Nance,nancela01,1987,5522,2569,2.9064192939999995,1.255118085,4.161537378999999,9.01561967,9.01561967,0.0,2.9591538710000003,1.455506039,4.414659909,-0.48829841700000004
11708,Larry Nance,nancela01,1988,5400,2583,1.775794638,-0.5570458739999999,1.218748764,5.240994996,4.867493253999999,0.373501742,1.774330173,-0.048411727,1.725918447,-0.170857184
11709,Larry Nance,nancela01,1989,5587,2721,1.35498019,1.874856822,3.229837012,8.25709539,7.628560137000001,0.628535253,1.320791569,1.528148071,2.84893964,-0.7939133970000001
11710,Larry Nance,nancela01,1990,4448,2224,0.42302414200000005,1.37967925,1.802703393,5.152711362,4.757937442,0.394773919,0.370194257,1.332813312,1.7030075690000002,-0.49031502
11711,Larry Nance,nancela01,1991,5866,2927,1.416821701,1.190676823,2.607498524,7.937381734,7.937381734,0.0,1.311884595,1.190926115,2.502810711,-0.783847638
11712,Larry Nance,nancela01,1992,7081,3561,2.5847113,2.118445532,4.703156833,13.45325098,11.45837654,1.994874436,2.666785042,2.0391816609999998,4.7059667030000005,-0.9010191390000001
11713,Larry Nance,nancela01,1993,6118,3082,2.116988229,1.543317584,3.660305813,10.06429125,8.600902405,1.463388841,2.087275764,1.5769498380000002,3.6642256019999997,-0.787257533
11714,Larry Nance,nancela01,1994,1757,909,-0.33620211899999997,1.5281331319999998,1.191931013,1.821550811,1.821550811,0.0,-0.20888887899999997,1.424149025,1.2152601459999999,-0.347738506
11715,Larry Nance Jr.,nancela02,2016,2560,1266,-0.9963784440000001,0.95461429,-0.041764154,1.7319504940000001,1.7319504940000001,0.0,-1.43251755,-0.12355592900000001,-1.5560734790000001,-0.9682655309999999
11716,Larry Nance Jr.,nancela02,2017,3024,1442,-1.407001545,0.580261426,-0.8267401190000001,1.41661738,1.41661738,0.0,-1.130692517,0.7878416079999999,-0.342850909,0.115003873
11717,Larry Nance Jr.,nancela02,2018,3596,1728,-0.220214198,2.75459791,2.534383712,4.699344216,3.783632618,0.9157115990000001,0.143230169,3.099079338,3.242309507,0.157695847
11718,Larry Nance Jr.,nancela02,2019,3662,1795,0.00191379,2.230547709,2.2324614990000002,4.543462713,4.543462713,0.0,0.317497156,2.340936002,2.6584331569999997,-0.435984242
11719,Larry Nance Jr.,nancela02,2020,3064,1472,0.058073596,1.102816867,1.1608904629999999,2.915294039,2.915294039,0.0,0.509270726,0.363520336,0.872791062,-0.759262801
